	id	start	type	timeframe	entry	outcome	RSI bounces	bounce length	bounce (pips)	inn_bounce	indecission	entry on RSI	length of trend (-1)	length in pips (-1)	last time	entry_aligned	retraced	Candle +1 against trade	trend_bounces	peak_bounces	s_r_bounces	is_sr_doubtful	adx	congestion_onleft	length of trend	No of candles	previous swings	space interswings	trend angle	stretches	strong trend	norm_length_pips	norm_bounce_pips	norm_retraced	diff	pips_ratio	pips_ratio_norm	length_bounce_perc	bounce_bias	bounce_ratio	sum_bounces	score
0	USD_JPY 31DEC2009H6	2009-12-31 10:00:00	long	H6	92.48	0	5	1,1,2,1,4	661	5	1	1	103.0	6760.0	2009-01-09 00:00:00	0	677.0	FALSE	2.0	3.0	4.5		38.0									140.83	13.77	14.1	356	65.63106796116504	1.3592233009708738	4.854368932038835	A	5.0	9	13
1	USD_JPY 29OCT2012H12	2012-10-29 09:00:00	long	H12	79.751	0	2	3,5	770	12	6	0	43.0	2188.0	2012-01-04 00:00:00	0	130.0	FALSE	1.0	8.0	6.0	1.0	34.0	0.0	43.0	3.0	3.0	26,19	33.0		True	45.58	16.04	2.71	299	50.883720930232556	1.0465116279069768	27.906976744186046	P	2.0	8	-22
2	USD_JPY 29JUL2007H8	2007-07-29 14:00:00	short	H8	118.54899999999999	0	0	0	951	5	1	1	17.0	3819.0	2007-01-04 00:00:00	0	148.0	TRUE	1.0	22.0	9.0	1.0	50.0	1.0							True	79.56	19.81	3.08	206	224.64705882352942	4.647058823529412	29.41176470588235	P	5.0	0	3
3	USD_JPY 23JUN2013H12	2013-06-23 22:00:00	long	H12	98.06	1	0	0	920	5	2	0	9.0	3987.0	2013-01-06 00:00:00	0		FALSE	1.0	0.0	2.0	0.0	35.0									83.06	19.17		168	443.0	9.222222222222221	55.55555555555556	A	2.5	0	-2
4	USD_JPY 22NOV2007H8	2007-11-22 22:00:00	short	H8	108.208	0	5	1,2,7,2,3	607	6	1	1	90.0	9673.0	2005-01-06 00:00:00	0		TRUE	2.0	0.0	2.0		44.0								False	201.52	12.65		1050	107.47777777777777	2.2333333333333334	6.666666666666667	A	6.0	15	11
5	USD_JPY 22JUL2010D	2010-07-22 23:00:00	short	D	86.88799999999999	0	2	2,6	990	5	1	0	56.0	7924.0	2009-01-11 00:00:00	0	300.0	TRUE	3.0	1.0	2.0		38.0		57.0	2.0	4.0	8,20,8	39.0		True	165.08	20.62	6.25	557	141.5	2.9464285714285716	8.928571428571429	A	5.0	8	-5
6	USD_JPY 18DEC2007H8	2007-12-18 06:00:00	long	H8	113.493	0	1	1	474	7	4	0	49.0	5866.0	2007-01-11 00:00:00	0		FALSE	1.0	3.0	4.0		24.0								False	122.21	9.88		341	119.71428571428571	2.489795918367347	14.285714285714286	A	1.75	1	-6
7	USD_JPY 17MAY2018H8	2018-05-17 06:00:00	long	H8	110.382	1	5	1,2,3,1,11	340	7	1	1	115.0	5664.0	2018-01-01 00:00:00	0		FALSE	4.0	14.0	7.0		28.0		117.0	5.0	2.0	9	36.0		False	118.0	7.08		136	49.25217391304348	1.0260869565217392	6.086956521739131	P	7.0	18	-3
8	USD_JPY 15OCT2008D	2008-10-15 23:00:00	short	D	101.39200000000001	1	1	1	4100	7	1	0	41.0	8656.0	2008-01-03 00:00:00	0		FALSE	0.0	1.0	4.0		40.0		43.0	4.0	2.0	8	38.0		False	180.33	85.42		286	211.1219512195122	4.390243902439025	17.073170731707318	A	7.0	1	1
9	USD_JPY 15NOV2016H6	2016-11-15 10:00:00	long	H6	108.435	1	1	2	360	5	1	1	17.0	6697.0	2016-01-06 00:00:00	0		FALSE	0.0	2.0	5.0											139.52	7.5		314	393.94117647058823	8.176470588235293	29.41176470588235	A	5.0	2	22
10	USD_JPY 12AUG2008H8	2008-12-08 06:00:00	long	H8	110.325	0	2	3,2	600	8	1	0	63.0	6126.0	2008-01-01 00:00:00	0		FALSE	4.0	2.0	3.0										False	127.62	12.5		342	97.23809523809524	2.015873015873016	12.698412698412698	A	8.0	5	-2
11	USD_JPY 11NOV2018H6	2018-11-11 22:00:00	long	H6	113.904	0	1	1	355	7	2	0	40.0	2426.0	2018-01-10 00:00:00	0		FALSE	1.0	9.0	9.0											50.54	7.4		305	60.65	1.25	17.5	U	3.5	1	-6
12	USD_JPY 11NOV2014D	2014-11-11 23:00:00	long	D	114.95100000000001	1	0	0	1166	5	1	1	17.0	8781.0	2007-01-08 00:00:00	0		FALSE	2.0	0.0	0.0	0.0			66.0						False	182.94	24.29		2864	516.5294117647059	10.705882352941176	29.41176470588235	U	5.0	0	12
13	USD_JPY 10JAN2008H8	2008-10-01 14:00:00	short	H8	109.387	1	3	1,11,1	1906	17	2	0	32.0	5135.0	2007-01-11 00:00:00	0		FALSE	1.0	2.0	4.0										False	106.98	39.71		629	160.46875	3.3125	53.125	A	8.5	13	-7
14	USD_JPY 05FEB2013H12	2013-05-02 10:00:00	long	H12	93.15899999999999	0	10	4,2,7,17,7,4,6,1,1,1	723	5	1	0	115.0	13880.0	2010-01-05 00:00:00	0	1086.0	FALSE	3.0	3.0	4.5											289.17	15.06	22.62	1213	120.69565217391305	2.5130434782608697	4.3478260869565215	A	5.0	50	-2
15	USD_JPY 04JUL2008D	2008-04-07 23:00:00	long	D	106.939	0	1	3	2700	20	5	0	78.0	11035.0	2008-01-01 00:00:00	0	1100.0	TRUE	3.0	3.0	4.5				79.0	78.0	5.0	27,28,10,7	25.0		False	229.9	56.25	22.92	97	141.47435897435898	2.9358974358974357	25.641025641025642	A	4.0	3	-5
16	USD_JPY 01MAY2018D	2018-01-05 23:00:00	long	D	109.459	0	1	1	390	6	1	1	27.0	4790.0	2018-01-01 00:00:00	0	250.0	FALSE	2.0	3.0	4.5				26.0	3.0	4.0	8,10,5	52.0		False	99.79	8.12	5.21	4	177.40740740740742	3.6666666666666665	22.22222222222222	A	6.0	1	21
17	USD_JPY 01AUG2007D	2007-01-08 03:00:00	short	D	118.322	0	1	2	1130	5	3	0	27.0	5616.0	2007-01-03 00:00:00	0	90.0	TRUE	2.0	3.0	4.5				29.0	3.0	3.0	6,9	47.0		False	117.0	23.54	1.88	5	208.0	4.333333333333333	18.51851851851852	A	1.6666666666666667	2	0
18	USD_CHF 30MAY2006D	2006-05-29 23:00:00	short	D	1.22189	1	1	13	3131	15	2	0	33.0	7975.0	2005-01-05 00:00:00	0		FALSE	1.0	3.0	4.5											166.15	65.23		509	241.66666666666666	5.03030303030303	45.45454545454545	A	7.5	13	-5
19	USD_CHF 28FEB2007H12	2007-02-28 22:00:00	short	H12	1.21838	0	1	1	895	4	1	0	24.0	3534.0	2006-01-12 00:00:00	0	1170.0	TRUE	1.0	3.0	4.5				25.0	3.0	2.0	7	68.0		True	73.62	18.65	24.38	412	147.25	3.0416666666666665	16.666666666666668	A	4.0	1	0
20	USD_CHF 25MAY2012H12	2012-05-25 10:00:00	long	H12	0.9605	1	3	4,10,1	640	4	4	1	35.0	5511.0	2011-01-02 00:00:00	0		FALSE	1.0	3.0	4.5				36.0	2.0	3.0	9,28	50.0		True	114.81	13.33		509	157.45714285714286	3.257142857142857	11.428571428571429	A	1.0	15	1
21	USD_CHF 22AUG2014H12	2014-08-22 10:00:00	long	H12	0.91227	1	3	5,3,4	408	5	1	0	76.0	2536.0	2013-01-11 00:00:00	0		FALSE	2.0	3.0	4.5				72.0	32.0	2.0	9	30.0		False	52.83	8.5		588	33.36842105263158	0.6842105263157895	6.578947368421052	A	5.0	12	-1
22	USD_CHF 21JAN2013H12	2013-01-21 22:00:00	long	H12	0.9344600000000001	0	0	0	720	6	5	0	11.0	2095.0	2012-01-11 00:00:00	0		TRUE	4.0	3.0	4.5				13.0		2.0	11	67.0		True	43.65	15.0		376	190.45454545454547	3.909090909090909	54.54545454545455	A	1.2	0	-3
23	USD_CHF 20JUN2013H12	2013-06-20 22:00:00	short	H12	0.9271299999999999	0	2	2,1	1871	16	3	0	33.0	5163.0	2013-01-02 00:00:00	0		FALSE	2.0	3.0	4.5				34.0	12.0	2.0	33	51.0		True	107.56	38.98		169	156.45454545454547	3.242424242424242	48.484848484848484	A	5.333333333333333	3	-7
24	USD_CHF 15DEC2013H12	2013-12-15 22:00:00	short	H12	0.8879	0	1	9	663	8	4	1	50.0	3357.0	2011-01-11 00:00:00	0		FALSE	2.0	3.0	4.5				33.0	5.0	2.0	18	56.0		True	69.94	13.81		1069	67.14	1.38	16.0	A	2.0	9	5
25	USD_CHF 13OCT2006D	2006-12-10 23:00:00	long	D	1.27356	0	1	2	505	3	1	0	13.0	3984.0	2006-01-04 00:00:00	0		FALSE	1.0	3.0	4.5											83.0	10.52		340	306.46153846153845	6.384615384615385	23.076923076923077	A	3.0	2	1
26	USD_CHF 11DEC2015D	2015-11-12 21:01:00	short	D	0.9820700000000001	0	0	0	606	3	1	0	8.0	4493.0	2015-01-10 00:00:00	0		FALSE	1.0	3.0	4.5	0.0			6.0						True	93.6	12.62		306	561.625	11.625	37.5	A	3.0	0	-1
27	USD_CHF 09NOV2011H12	2011-09-11 10:00:00	long	H12	0.90749	1	0	0	1396	6	1	0	17.0	5075.0	2011-01-10 00:00:00	0		FALSE	1.0	3.0	4.5				15.0		3.0	6,9	57.0		False	105.73	29.08		244	298.52941176470586	6.176470588235294	35.294117647058826	A	6.0	0	-5
28	USD_CHF 07JAN2009H12	2009-07-01 22:00:00	long	H12	1.10571	0	1	2	2800	9	1	0	14.0	5693.0	2008-01-12 00:00:00	0	30.0	TRUE	1.0	3.0	4.5				15.0	16.0	3.0	8,4	46.0		True	118.6	58.33	0.62	536	406.64285714285717	8.428571428571429	64.28571428571429	A	9.0	2	-4
29	USD_CHF 03OCT2014H12	2014-03-10 10:00:00	long	H12	0.9582	0	9	5,2,1,1,11,1,7,4,4	500	7	2	1	137.0	7092.0	2013-01-07 00:00:00	0	1577.0	FALSE	5.0	3.0	4.5				137.0	4.0	7.0	14,6,4,17,10,18	31.0		False	147.75	10.42	32.85	427	51.76642335766423	1.072992700729927	5.109489051094891	A	3.5	36	11
30	USD_CHF 02JUN2016H12	2016-02-06 22:00:00	long	H12	0.9915200000000001	0	3	3,5,1	900	22	3	0	45.0	4515.0	2006-01-02 00:00:00	0		FALSE	1.0	3.0	4.5				46.0	15.0	2.0	43	50.0		True	94.06	18.75		3687	100.33333333333333	2.088888888888889	48.888888888888886	A	7.333333333333333	9	-10
31	USD_CHF 02FEB2015D	2015-01-02 23:00:00	long	D	0.92489	1	0	0	590	3	1	0	11.0	8818.0	2014-01-09 00:00:00	0		FALSE	0.0	3.0	4.5	0.0			10.0						True	183.71	12.29		358	801.6363636363636	16.636363636363637	27.272727272727273	A	3.0	0	4
32	USD_CHF 01MAY2018D	2018-01-05 01:00:00	long	D	0.9919100000000001	1	0	0	475	3	1	1	51.0	7044.0	2017-01-11 00:00:00	0		FALSE	3.0	3.0	4.5	0.0			58.0						True	146.75	9.9		359	138.11764705882354	2.8627450980392157	5.882352941176471	A	3.0	0	15
33	USD_CHF 01APR2018H12	2018-01-04 22:00:00	long	H12	0.9546	1	0	0	478	6	1	0	60.0	3573.0	2018-01-01 00:00:00	0		FALSE	1.0	3.0	4.5				60.0		2.0	9	35.0		False	74.44	9.96		3	59.55	1.2333333333333334	10.0	A	6.0	0	0
34	USD_CAD 29SEP2005D	2005-09-28 23:00:00	short	D	1.1718600000000001	0	1	1	1196	9	1	0	89.0	9465.0	2003-01-01 00:00:00	0		FALSE	4.0	3.0	4.5											197.19	24.92		1001	106.34831460674157	2.2134831460674156	10.112359550561798	A	9.0	1	-7
35	USD_CAD 28MAY2010H12	2010-05-28 10:00:00	long	H12	1.0533700000000001	0	3	1,2,2	4050	13	3	0	54.0	5890.0	2010-01-02 00:00:00	0		FALSE	2.0	3.0	4.5				55.0	7.0	6.0	15,7,13,3,9	56.0		False	122.71	84.38		146	109.07407407407408	2.259259259259259	24.074074074074073	A	4.333333333333333	5	-3
