	id	start	type	timeframe	entry	outcome	RSI bounces	bounce length	bounce (pips)	inn_bounce	indecission	entry on RSI	length of trend (-1)	length in pips (-1)	last time	entry_aligned	retraced	Candle +1 against trade	trend_bounces	peak_bounces	s_r_bounces	is_sr_doubtful	adx	congestion_onleft	length of trend	No of candles	previous swings	space interswings	trend angle	stretches	strong trend	norm_length_pips	norm_bounce_pips	norm_retraced	diff	pips_ratio	pips_ratio_norm	length_bounce_perc	bounce_bias	bounce_ratio	sum_bounces	score
5	USD_JPY 22JUL2010D	2010-07-22 23:00:00	short	D	86.88799999999999	0	2	2,6	990	5	1	0	56.0	7924.0	2009-01-11 00:00:00	0	300.0	TRUE	3.0	1.0	2.0		38.0		57.0	2.0	4.0	8,20,8	39.0		True	165.08	20.62	6.25	557	141.5	2.9464285714285716	8.928571428571429	A	5.0	8	9
8	USD_JPY 15OCT2008D	2008-10-15 23:00:00	short	D	101.39200000000001	1	1	1	4100	7	1	0	41.0	8656.0	2008-01-03 00:00:00	0		FALSE	0.0	1.0	4.0		40.0		43.0	4.0	2.0	8	38.0		False	180.33	85.42		286	211.1219512195122	4.390243902439025	17.073170731707318	A	7.0	1	-1
12	USD_JPY 11NOV2014D	2014-11-11 23:00:00	long	D	114.95100000000001	1	0	0	1166	5	1	1	17.0	8781.0	2007-01-08 00:00:00	0		FALSE	2.0	0.0	0.0	0.0			66.0						False	182.94	24.29		2864	516.5294117647059	10.705882352941176	29.41176470588235	U	5.0	0	20
15	USD_JPY 04JUL2008D	2008-04-07 23:00:00	long	D	106.939	0	1	3	2700	20	5	0	78.0	11035.0	2008-01-01 00:00:00	0	1100.0	TRUE	3.0	2.0	3.0				79.0	78.0	5.0	27,28,10,7	25.0		False	229.9	56.25	22.92	97	141.47435897435898	2.9358974358974357	25.641025641025642	A	4.0	3	-11
16	USD_JPY 01MAY2018D	2018-01-05 23:00:00	long	D	109.459	0	1	1	390	6	1	1	27.0	4790.0	2018-01-01 00:00:00	0	250.0	FALSE	2.0	2.0	3.0				26.0	3.0	4.0	8,10,5	52.0		False	99.79	8.12	5.21	4	177.40740740740742	3.6666666666666665	22.22222222222222	A	6.0	1	19
17	USD_JPY 01AUG2007D	2007-01-08 03:00:00	short	D	118.322	0	1	2	1130	5	3	0	27.0	5616.0	2007-01-03 00:00:00	0	90.0	TRUE	2.0	2.0	3.0				29.0	3.0	3.0	6,9	47.0		False	117.0	23.54	1.88	5	208.0	4.333333333333333	18.51851851851852	A	1.6666666666666667	2	3
18	USD_CHF 30MAY2006D	2006-05-29 23:00:00	short	D	1.22189	1	1	13	3131	15	2	0	33.0	7975.0	2005-01-05 00:00:00	0		FALSE	1.0	2.0	3.0											166.15	65.23		509	241.66666666666666	5.03030303030303	45.45454545454545	A	7.5	13	-3
25	USD_CHF 13OCT2006D	2006-12-10 23:00:00	long	D	1.27356	0	1	2	505	3	1	0	13.0	3984.0	2006-01-04 00:00:00	0		FALSE	1.0	2.0	3.0											83.0	10.52		340	306.46153846153845	6.384615384615385	23.076923076923077	A	3.0	2	-10
26	USD_CHF 11DEC2015D	2015-11-12 21:01:00	short	D	0.9820700000000001	0	0	0	606	3	1	0	8.0	4493.0	2015-01-10 00:00:00	0		FALSE	1.0	2.0	3.0	0.0			6.0						True	93.6	12.62		306	561.625	11.625	37.5	A	3.0	0	-5
31	USD_CHF 02FEB2015D	2015-01-02 23:00:00	long	D	0.92489	1	0	0	590	3	1	0	11.0	8818.0	2014-01-09 00:00:00	0		FALSE	0.0	2.0	3.0	0.0			10.0						True	183.71	12.29		358	801.6363636363636	16.636363636363637	27.272727272727273	A	3.0	0	-2
32	USD_CHF 01MAY2018D	2018-01-05 01:00:00	long	D	0.9919100000000001	1	0	0	475	3	1	1	51.0	7044.0	2017-01-11 00:00:00	0		FALSE	3.0	2.0	3.0	0.0			58.0						True	146.75	9.9		359	138.11764705882354	2.8627450980392157	5.882352941176471	A	3.0	0	2
34	USD_CAD 29SEP2005D	2005-09-28 23:00:00	short	D	1.1718600000000001	0	1	1	1196	9	1	0	89.0	9465.0	2003-01-01 00:00:00	0		FALSE	4.0	2.0	3.0											197.19	24.92		1001	106.34831460674157	2.2134831460674156	10.112359550561798	A	9.0	1	-7
38	USD_CAD 28FEB2013D	2013-02-27 23:00:00	long	D	1.02752	0	1	2	563	4	1	1	33.0	4425.0	2012-01-06 00:00:00	0		FALSE	2.0	2.0	3.0											92.19	11.73		418	134.0909090909091	2.787878787878788	12.121212121212121	A	4.0	2	4
39	USD_CAD 28DEC2018D	2018-12-27 23:00:00	long	D	1.3661299999999998	0	1	2	268	5	1	1	62.0	8367.0	2017-01-05 00:00:00	0		FALSE	5.0	2.0	3.0											174.31	5.58		721	134.9516129032258	2.806451612903226	8.064516129032258	A	5.0	2	7
40	USD_CAD 21DEC2006D	2006-12-20 23:00:00	long	D	1.15346	1	1	1	980	8	3	0	79.0	5103.0	2006-01-04 00:00:00	0		FALSE	3.0	2.0	3.0											106.31	20.42		350	64.59493670886076	1.3417721518987342	10.126582278481013	A	2.6666666666666665	1	-9
42	USD_CAD 19MAY2009D	2009-05-18 23:00:00	short	D	1.16111	1	2	1,1	2252	12	5	0	50.0	13767.0	2008-01-10 00:00:00	0		FALSE	3.0	2.0	3.0											286.81	46.92		494	275.34	5.72	24.0	A	2.4	2	-2
43	USD_CAD 18OCT2009D	2009-10-18 23:00:00	short	D	1.02893	0	10	4,1,3,4,3,1,1,1,1,1	1391	5	6	0	12.0	6347.0	2008-01-07 00:00:00	0		FALSE	1.0	2.0	3.0	0.0			157.0					40,69,-59,69,1,47	False	132.23	28.98		650	528.9166666666666	11.0	41.666666666666664	A	0.8333333333333334	20	-2
45	USD_CAD 17MAY2009D	2009-05-18 23:00:00	short	D	1.16209	1	2	1,1	2182	11	2	0	50.0	13577.0	2008-01-10 00:00:00	0		FALSE	2.0	2.0	3.0	1.0			45.0					70,-76,67,-73,70	False	282.85	45.46		494	271.54	5.64	22.0	A	5.5	2	6
49	USD_CAD 12MAY2016D	2016-12-05 03:00:00	short	D	1.2847899999999999	0	2	1,2	4426	22	2	0	79.0	17056.0	2015-01-07 00:00:00	0		FALSE	4.0	2.0	3.0	0.0			74.0					76,41,90,3,53	True	355.33	92.21		698	215.8987341772152	4.493670886075949	27.848101265822784	A	11.0	3	1
50	USD_CAD 12FEB2007D	2007-12-02 23:00:00	long	D	1.17519	0	5	1,2,3,1,1	1423	16	9	0	116.0	7251.0	2005-01-08 00:00:00	0		TRUE	3.0	2.0	3.0	0.0			110.0					64,-76,64,-70,58,-73,58,-24	False	151.06	29.65		1058	62.508620689655174	1.3017241379310345	13.793103448275861	A	1.7777777777777777	8	-9
55	USD_CAD 07JAN2015D	2015-06-01 23:00:00	long	D	1.1832	1	4	1,1,1,1	375	4	1	1	129.0	12130.0	2009-01-04 00:00:00	0		TRUE	7.0	2.0	3.0											252.71	7.81		2339	94.03100775193798	1.9534883720930232	3.10077519379845	A	4.0	4	-1
57	NZD_USD 24MAR2006D	2006-03-23 23:00:00	short	D	0.61871	1	1	2	655	5	2	1	34.0	6686.0	2004-01-05 00:00:00	0		FALSE	1.0	2.0	3.0											139.29	13.65		808	196.64705882352942	4.088235294117647	14.705882352941176	A	2.5	2	5
59	NZD_USD 17OCT2017D	2017-10-16 23:00:00	short	D	0.71575	0	0	0	1211	9	2	0	17.0	1967.0	2017-01-05 00:00:00	0	165.0	FALSE	2.0	2.0	3.0											40.98	25.23	3.44	284	115.70588235294117	2.3529411764705883	52.94117647058823	A	4.5	0	9
60	NZD_USD 04JUN2015D	2015-04-06 23:00:00	short	D	0.71201	0	1	2	935	5	1	0	26.0	6025.0	2010-01-09 00:00:00	0	381.0	FALSE	1.0	2.0	3.0	0.0			24.0						True	125.52	19.48	7.94	1913	231.73076923076923	4.8076923076923075	19.23076923076923	A	5.0	2	5
