timeframe,strat,id,start,entry,TP,SL,SR,RR,type,SMA,DIVERGENCE (Y/N),MINIPEAK (Y/N),,,,,,,,,,,
D,counter_b1,NZD_USD 04JAN2007D,03/01/2007 22:00,0.70334,0.69273,0.71042,0.70982,1.5,short,N,N,N,,,,,,,,,,,
D,counter_b1,NZD_USD 26MAR2007D,25/03/2007 22:00,0.70931,0.69697,0.71643,0.71092,1.5,short,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,NZD_USD 24APR2007D,23/04/2007 22:00,0.74179,0.729,0.75045,0.74618,1.5,short,N,N,N,,,,,,,,,,,
D,counter_b1,NZD_USD 10DEC2007D,9/12/2007 22:00,0.77323,0.75076,0.78841,0.77809,1.5,short,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,NZD_USD 16JAN2008D,15/01/2008 22:00,0.77612,0.75204,0.79452,0.78774,1.31,short,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,NZD_USD 16JUN2008D,15/06/2008 22:00,0.75229,0.76729,0.7423,0.74618,1.5,long,Y,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,NZD_USD 17JUL2008D,16/07/2008 22:00,0.76875,0.75603,0.77728,0.77334,1.5,short,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,NZD_USD 07NOV2008D,06/11/2008 22:00,0.58175,0.53732,0.61258,0.59806,1.5,short,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,NZD_USD 19DEC2008D,18/12/2008 22:00,0.5791,0.54063,0.60747,0.59705,1.5,short,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,NZD_USD 12MAY2009D,11/05/2009 22:00,0.598,0.57313,0.61442,0.60052,1.5,short,N,Y,Y,,,,,,,,,,,
D,counter_b1,NZD_USD 04NOV2009D,03/11/2009 22:00,0.72641,0.75317,0.7076,0.71254,1.42,long,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,NZD_USD 16SEP2010D,15/09/2010 22:00,0.72711,0.70736,0.74005,0.7379,1.53,short,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,NZD_USD 15OCT2010D,14/10/2010 22:00,0.75466,0.73935,0.76491,0.76069,1.5,short,N,n.a.,n.a.,,,,,,,,,,,
H12,counter_b1,NZD_USD 08NOV2010H12,08/11/2010 22:00,0.78756,0.77355,0.79769,0.79092,1.38,short,N,N,Y,,,,,,,,,,,
D,counter_b1,NZD_USD 18NOV2010D,17/11/2010 22:00,0.77281,0.78866,0.76177,0.76315,1.44,long,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,NZD_USD 17DEC2010D,16/12/2010 22:00,0.7412,0.75222,0.73396,0.73785,1.5,long,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,NZD_USD 19APR2011D,18/04/2011 22:00,0.79007,0.77518,0.80087,0.79971,1.4,short,N,N,N,,,,,,,,,,,
D,counter_b1,NZD_USD 05OCT2011D,04/10/2011 22:00,0.76298,0.78675,0.74685,0.7548,1.5,long,N,N,Y,,,,,,,,,,,
D,counter_b1,NZD_USD 18OCT2011D,17/10/2011 22:00,0.79055,0.76509,0.80765,0.79626,1.5,short,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,NZD_USD 14NOV2011D,13/11/2011 22:00,0.78735,0.80804,0.77346,0.77789,1.5,long,Y,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,NZD_USD 08DEC2011D,07/12/2011 22:00,0.77338,0.75112,0.78855,0.77789,1.5,short,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,NZD_USD 29DEC2011D,28/12/2011 22:00,0.76653,0.74774,0.7796,0.77789,1.4,short,N,n.a.,n.a.,,,,,,,,,,,
H12,counter_b1,NZD_USD 23MAY2012H12,23/05/2012 22:00,0.75324,0.76578,0.74481,0.7464,1.5,long,N,Y,Y,,,,,,,,,,,
D,counter_b1,NZD_USD 31DEC2012D,30/12/2012 22:00,0.82265,0.83213,0.81584,0.81856,1.4,long,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,NZD_USD 05FEB2013D,04/02/2013 22:00,0.84245,0.83153,0.84958,0.84652,1.5,short,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,NZD_USD 05MAR2013D,04/03/2013 22:00,0.82771,0.84076,0.81865,0.82004,1.4,long,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,NZD_USD 16MAY2013D,15/05/2013 22:00,0.82591,0.84023,0.81614,0.82004,1.5,long,Y,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,NZD_USD 03SEP2013D,02/09/2013 22:00,0.78326,0.80479,0.76791,0.77268,1.4,long,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,NZD_USD 12SEP2013D,11/09/2013 22:00,0.81049,0.80104,0.81669,0.81256,1.5,short,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,NZD_USD 02DEC2013D,01/12/2013 22:00,0.81634,0.82936,0.80767,0.81147,1.5,long,Y,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,NZD_USD 20MAR2014D,19/03/2014 22:00,0.8535,0.83844,0.86448,0.86247,1.4,short,N,N,N,,,,,,,,,,,
D,counter_b1,NZD_USD 14AUG2014D,13/08/2014 22:00,0.84843,0.86085,0.84,0.84265,1.5,long,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,NZD_USD 10JUL2015D,09/07/2015 22:00,0.67519,0.69765,0.65965,0.66149,1.45,long,N,N,N,,,,,,,,,,,
D,counter_b1,NZD_USD 09SEP2016D,08/09/2016 22:00,0.73832,0.72217,0.7491,0.74599,1.5,short,N,Y,Y,,,,,,,,,,,
D,counter_b1,NZD_USD 13OCT2016D,12/10/2016 22:00,0.70916,0.72996,0.69486,0.70261,1.45,long,Y,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,NZD_USD 02MAY2017D,01/05/2017 22:00,0.69226,0.70372,0.68425,0.68739,1.43,long,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,NZD_USD 30MAY2017D,29/05/2017 22:00,0.70387,0.69534,0.70963,0.70627,1.5,short,Y,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,NZD_USD 25JUL2017D,24/07/2017 22:00,0.74225,0.73239,0.74896,0.74556,1.5,short,N,Y,Y,,,,,,,,,,,
D,counter_b1,NZD_USD 05SEP2017D,04/09/2017 22:00,0.7185,0.72684,0.71294,0.71497,1.5,long,Y,n.a.,n.a.,,,,,,,,,,,
H12,counter_b1,NZD_USD 09FEB2018H12,08/02/2018 10:00,0.72427,0.73308,0.71785,0.72067,1.4,long,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,NZD_USD 02MAR2018D,01/03/2018 22:00,0.72646,0.73736,0.71868,0.72155,1.4,long,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,NZD_USD 16APR2018D,15/04/2018 22:00,0.73439,0.72433,0.74179,0.73928,1.4,short,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,NZD_USD 13JUN2018D,12/06/2018 22:00,0.69977,0.69042,0.70604,0.7051,1.5,short,N,n.a.,n.a.,,,,,,,,,,,
H12,counter_b1,NZD_USD 30JUN2019H12,29/06/2019 22:00,0.66887,0.66328,0.67258,0.67095,1.5,short,Y,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,EUR_JPY 22AUG2008D,21/08/2008 22:00,162.2,165.746,159.836,160.089,1.5,long,Y,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,EUR_JPY 15JUL2009D,14/07/2009 22:00,130.865,137.232,126.421,127.766,1.43,long,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,EUR_JPY 11AUG2009D,10/08/2009 22:00,135.909,131.801,138.747,137.305,1.45,short,Y,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,EUR_JPY 27OCT2009D,26/10/2009 22:00,136.852,134.1,138.66,137.305,1.5,short,Y,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,EUR_JPY 22DEC2009D,21/12/2009 22:00,130.396,135.679,126.719,128.545,1.44,long,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,EUR_JPY 06APR2010D,05/04/2010 22:00,126.627,124.347,128.151,126.909,1.5,short,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,EUR_JPY 16APR2010D,15/04/2010 22:00,125.877,122.767,127.943,127.235,1.5,short,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,EUR_JPY 11MAR2011D,10/03/2011 22:00,114.229,111.48,116.077,115.02,1.5,short,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,EUR_JPY 24MAR2011D,23/03/2011 22:00,113.956,110.883,116.034,115.02,1.5,short,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,EUR_JPY 28NOV2012D,27/11/2012 22:00,105.715,103.64,107.145,106.637,1.45,short,N,Y,Y,,,,,,,,,,,
D,counter_b1,EUR_JPY 17OCT2014D,16/10/2014 22:00,136.592,138.956,134.986,135.794,1.5,long,Y,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,EUR_JPY 05MAY2015D,04/05/2015 22:00,133.645,131.142,135.374,134.643,1.45,short,Y,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,EUR_JPY 02MAR2016D,01/03/2016 22:00,124.054,126.636,122.13,122.674,1.34,long,N,N,Y,,,,,,,,,,,
D,counter_b1,EUR_JPY 15MAR2016D,14/03/2016 22:00,125.995,123.94,127.394,127.018,1.5,short,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,EUR_JPY 04MAY2016,03/05/2016 22:00,123.021,125.138,121.57,122.173,1.46,long,N,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,EUR_JPY 19DEC2016D,18/12/2016 22:00,122.251,119.402,124.132,122.905,1.5,short,Y,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,EUR_JPY 15MAR2017D,14/03/2017 22:00,121.677,119.718,122.989,122.365,1.5,short,Y,n.a.,n.a.,,,,,,,,,,,
D,counter_b1,EUR_JPY 04APR2017D,03/04/2017 22:00,118.374,119.851,117.392,118.244,1.5,long,N,n.a.,n.a.,,,,,,,,,,,
