,id,start,strat,type,SMA,entry,TP,SL,SR,entry_time,outcome,pips,lasttime,bounces,bounces_lasttime
0,NZD_USD 04JAN2007D,2007-01-03 22:00:00,counter_b1,short,N,0.70836,0.67933,0.71049,0.70836,2007-01-03 22:00:00,success,290.3,2005-12-05 22:00:00,8,2
1,NZD_USD 24APR2007D,2007-04-23 22:00:00,counter_b1,short,N,0.74179,0.729,0.75045,0.74618,2007-04-24 01:30:00,success,127.9,2002-09-23 21:00:00,1,1
2,NZD_USD 12MAY2009D,2009-05-11 22:00:00,counter_b1,short,N,0.598,0.57313,0.61442,0.60052,2009-05-11 22:00:00,failure,-164.2,2008-10-20 21:00:00,7,2
3,NZD_USD 08NOV2010H12,2010-11-08 22:00:00,counter_b1,short,N,0.78756,0.77355,0.79769,0.79092,2010-11-08 22:00:00,success,140.1,2008-04-23 09:00:00,7,3
4,NZD_USD 19APR2011D,2011-04-18 22:00:00,counter_b1,short,N,0.79007,0.77518,0.80087,0.79971,2011-04-18 21:00:00,failure,-108,2008-03-16 21:00:00,6,3
5,NZD_USD 05OCT2011D,2011-10-04 22:00:00,counter_b1,long,N,0.76298,0.78675,0.74685,0.7548,2011-10-05 08:00:00,success,237.7,2011-03-23 21:00:00,18,1
6,NZD_USD 23MAY2012H12,2012-05-23 22:00:00,counter_b1,long,N,0.75324,0.76578,0.74481,0.7464,2012-05-24 06:30:00,success,125.4,2011-03-21 21:00:00,17,3
7,NZD_USD 20MAR2014D,2014-03-19 22:00:00,counter_b1,short,N,0.8535,0.83844,0.86448,0.86247,2014-03-19 22:00:00,failure,-109.8,2011-08-01 21:00:00,2,2
8,NZD_USD 10JUL2015D,2015-07-09 22:00:00,counter_b1,long,N,0.67519,0.69765,0.65965,0.66149,2015-07-09 22:00:00,failure,-155.4,2009-07-19 21:00:00,7,1
9,NZD_USD 09SEP2016D,2016-09-08 22:00:00,counter_b1,short,N,0.73832,0.72217,0.7491,0.74599,2016-09-09 06:30:00,success,161.5,2015-05-05 21:00:00,16,1
10,NZD_USD 25JUL2017D,2017-07-24 22:00:00,counter_b1,short,N,0.74225,0.73239,0.74896,0.74556,2017-07-25 01:30:00,failure,-67.1,2015-05-05 21:00:00,17,2
11,EUR_JPY 28NOV2012D,2012-11-27 22:00:00,counter_b1,short,N,105.715,103.64,107.145,106.637,2012-11-28 06:00:00,failure,-143,2012-04-21 21:00:00,3,0
12,EUR_JPY 02MAR2016D,2016-03-01 22:00:00,counter_b1,long,N,124.054,126.636,122.13,122.674,2016-03-01 22:00:00,success,258.2,2013-04-03 21:00:00,5,0
13,AUD_NZD 02MAY2008D,2008-05-01 22:00:00,counter_b1,short,N,1.1984,1.18183,1.20959,1.20163,2008-05-02 05:30:00,failure,-111.9,2006-08-13 21:00:00,1,1
14,AUD_NZD 11SEP2008D,2008-09-10 22:00:00,counter_b1,long,N,1.21092,1.23148,1.19723,1.20163,2008-09-10 21:00:00,success,205.6,2008-04-23 21:00:00,1,0
15,AUD_NZD 23JAN2009D,2009-01-22 22:00:00,counter_b1,short,N,1.23517,1.20928,1.25279,1.24265,2009-01-23 01:00:00,failure,-176.2,2008-08-12 21:00:00,3,1
16,AUD_NZD 05MAR2009D,2009-03-04 22:00:00,counter_b1,short,N,1.2755,1.24873,1.29395,1.28994,2009-03-05 20:30:00,success,267.7,2004-05-30 21:00:00,1,1
