,id,start,strat,entry,entry_time,outcome,lasttime,bounces,bounces_lasttime
0,NZD_USD 04JAN2007D,2007-01-03 22:00:00,counter_b1,0.70836,2007-01-03 22:00:00,success,2005-12-05 22:00:00,8,2
1,NZD_USD 24APR2007D,2007-04-23 22:00:00,counter_b1,0.74179,2007-04-24 01:30:00,success,2002-09-23 21:00:00,1,1
2,NZD_USD 12MAY2009D,2009-05-11 22:00:00,counter_b1,0.598,2009-05-11 22:00:00,failure,2008-10-20 21:00:00,7,2
3,NZD_USD 08NOV2010H12,2010-11-08 22:00:00,counter_b1,0.78756,2010-11-08 22:00:00,success,2008-04-23 09:00:00,7,3
4,NZD_USD 19APR2011D,2011-04-18 22:00:00,counter_b1,0.79007,2011-04-18 21:00:00,failure,2008-03-16 21:00:00,6,3
5,NZD_USD 05OCT2011D,2011-10-04 22:00:00,counter_b1,0.76298,2011-10-05 08:00:00,success,2011-03-23 21:00:00,18,1
6,NZD_USD 23MAY2012H12,2012-05-23 22:00:00,counter_b1,0.75324,2012-05-24 06:30:00,success,2011-03-21 21:00:00,17,3
7,NZD_USD 20MAR2014D,2014-03-19 22:00:00,counter_b1,0.8535,2014-03-19 22:00:00,failure,2011-08-01 21:00:00,2,2
8,NZD_USD 10JUL2015D,2015-07-09 22:00:00,counter_b1,0.67519,2015-07-09 22:00:00,failure,2009-07-19 21:00:00,7,1
9,NZD_USD 09SEP2016D,2016-09-08 22:00:00,counter_b1,0.73832,2016-09-09 06:30:00,success,2015-05-05 21:00:00,16,1
10,NZD_USD 25JUL2017D,2017-07-24 22:00:00,counter_b1,0.74225,2017-07-25 01:30:00,failure,2015-05-05 21:00:00,17,2
11,EUR_JPY 28NOV2012D,2012-11-27 22:00:00,counter_b1,105.715,2012-11-28 06:00:00,failure,2012-04-21 21:00:00,3,0
12,EUR_JPY 02MAR2016D,2016-03-01 22:00:00,counter_b1,124.054,2016-03-01 22:00:00,success,2013-04-03 21:00:00,5,0
13,AUD_NZD 02MAY2008D,2008-05-01 22:00:00,counter_b1,1.1984,2008-05-02 05:30:00,failure,2006-08-13 21:00:00,1,1
14,AUD_NZD 11SEP2008D,2008-09-10 22:00:00,counter_b1,1.21092,2008-09-10 21:00:00,success,2008-04-23 21:00:00,1,0
