	id	start	type	timeframe	entry	outcome	RSI bounces	bounce length	bounce (pips)	inn_bounce	indecission	entry on RSI	length of trend (-1)	length in pips (-1)	last time	entry_aligned	retraced	Candle +1 against trade	trend_bounces	peak_bounces	s_r_bounces	assesment	is_sr_doubtful	length of trend	No of candles	previous swings	space interswings	trend angle	stretches	strong trend	norm_length_pips	norm_bounce_pips	norm_retraced	diff	pips_ratio	pips_ratio_norm	length_bounce_perc	bounce_bias	bounce_ratio	sum_bounces	score
0	EUR_AUD 28MAR2006H12	2006-03-28 22:00:00	long	H12	1.7064700000000002	0	2	4,9	1361	6	1	1	18.0	7814.0	2005-01-01 00:00:00	1		False	1	8.0	5.0	FP									162.79	28.35		451	434.1111111111111	9.0	33.333333333333336	P	6.0	13	-2
1	EUR_AUD 14AUG2008H12	2008-08-14 21:00:00	long	H12	1.7074599999999998	0	2	2,11	3608	6	1	0	24.0	7107.0	2008-01-04 00:00:00	1		False	1	6.0	7.0	TN									148.06	75.17		223	296.125	6.166666666666667	25.0	A	6.0	13	3
2	EUR_AUD 25JAN2011H12	2011-01-25 10:00:00	long	H12	1.37523	0	2	3,1	1321	6	1	0	22.0	7848.0	2010-01-11 00:00:00	1	3195.0	False	2	6.0	7.0	FP									163.5	27.52	66.56	379	356.72727272727275	7.409090909090909	27.272727272727273	A	6.0	4	5
3	EUR_AUD 03OCT2011H12	2011-03-10 21:00:00	long	H12	1.38814	1	2	2,1	1372	8	6	0	31.0	8806.0	2011-01-03 00:00:00	1		False	1	6.0	7.0	TP									183.46	28.58		66	284.06451612903226	5.903225806451613	25.806451612903224	A	1.3333333333333333	3	6
4	EUR_AUD 20DEC2012H12	2012-12-20 10:00:00	long	H12	1.26378	1	0	0	680	3	1	1	11.0	3071.0	2012-01-10 00:00:00	1		False	2	6.0	7.0	TP									63.98	14.17		345	279.1818181818182	5.7272727272727275	27.272727272727273	A	3.0	0	39
5	EUR_AUD 31MAR2014H12	2014-03-31 21:00:00	short	H12	1.48464	1	2	1,7	1100	7	1	0	21.0	5725.0	2013-01-11 00:00:00	1		True	2	6.0	7.0	TP									119.27	22.92		444	272.6190476190476	5.666666666666667	33.333333333333336	A	7.0	8	13
6	EUR_AUD 12DEC2014H12	2014-12-12 10:00:00	long	H12	1.50419	1	0	0	1146	4	1	1	28.0	7733.0	2014-01-03 00:00:00	1		False	3	6.0	7.0	TP									161.1	23.88		343	276.17857142857144	5.75	14.285714285714286	A	4.0	0	34
7	EUR_AUD 13JAN2015H12	2015-01-13 10:00:00	short	H12	1.44581	0	2	6,1	1301	5	2	1	22.0	5914.0	2014-01-11 00:00:00	1	495.0	False	2	6.0	7.0	FP									123.21	27.1	10.31	367	268.8181818181818	5.590909090909091	22.727272727272727	A	2.5	7	29
8	EUR_AUD 08JUN2015H12	2015-08-06 09:00:00	long	H12	1.46319	0	2	1,1	1375	6	1	0	17.0	6416.0	2015-01-02 00:00:00	1	1729.0	False	1	6.0	7.0	FP									133.67	28.65	36.02	216	377.4117647058824	7.823529411764706	35.294117647058826	A	6.0	2	-2
9	EUR_AUD 28AUG2015H12	2015-08-28 09:00:00	long	H12	1.57863	0	1	6	8700	9	1	0	13.0	7438.0	2009-01-12 00:00:00	1	263.0	True	0	6.0	7.0	TN									154.96	181.25	5.48	2419	572.1538461538462	11.846153846153847	69.23076923076923	A	9.0	6	14
