	id	start	type	timeframe	entry	outcome	RSI bounces	bounce length	bounce (pips)	inn_bounce	indecission	entry on RSI	length of trend (-1)	length in pips (-1)	last time	entry_aligned	retraced	Candle +1 against trade	trend_bounces	peak_bounces	s_r_bounces	is_sr_doubtful	adx	congestion_onleft	length of trend	No of candles	previous swings	space interswings	trend angle	stretches	strong trend	norm_length_pips	norm_bounce_pips	norm_retraced	diff	pips_ratio	pips_ratio_norm	length_bounce_perc	bounce_bias	bounce_ratio	sum_bounces	score
1	USD_JPY 29OCT2012H12	2012-10-29 09:00:00	long	H12	79.751	0	2	3,5	770	12	6	0	43.0	2188.0	2012-01-04 00:00:00	0	130.0	FALSE	1.0	8.0	6.0	1.0	34.0	0.0	43.0	3.0	3.0	26,19	33.0		True	45.58	16.04	2.71	299	50.883720930232556	1.0465116279069768	27.906976744186046	P	2.0	8	-21
3	USD_JPY 23JUN2013H12	2013-06-23 22:00:00	long	H12	98.06	1	0	0	920	5	2	0	9.0	3987.0	2013-01-06 00:00:00	0		FALSE	1.0	0.0	2.0	0.0	35.0									83.06	19.17		168	443.0	9.222222222222221	55.55555555555556	A	2.5	0	-5
14	USD_JPY 05FEB2013H12	2013-05-02 10:00:00	long	H12	93.15899999999999	0	10	4,2,7,17,7,4,6,1,1,1	723	5	1	0	115.0	13880.0	2010-01-05 00:00:00	0	1086.0	FALSE	3.0	4.0	6.0											289.17	15.06	22.62	1213	120.69565217391305	2.5130434782608697	4.3478260869565215	A	5.0	50	-8
19	USD_CHF 28FEB2007H12	2007-02-28 22:00:00	short	H12	1.21838	0	1	1	895	4	1	0	24.0	3534.0	2006-01-12 00:00:00	0	1170.0	TRUE	1.0	4.0	6.0				25.0	3.0	2.0	7	68.0		True	73.62	18.65	24.38	412	147.25	3.0416666666666665	16.666666666666668	A	4.0	1	7
20	USD_CHF 25MAY2012H12	2012-05-25 10:00:00	long	H12	0.9605	1	3	4,10,1	640	4	4	1	35.0	5511.0	2011-01-02 00:00:00	0		FALSE	1.0	4.0	6.0				36.0	2.0	3.0	9,28	50.0		True	114.81	13.33		509	157.45714285714286	3.257142857142857	11.428571428571429	A	1.0	15	4
21	USD_CHF 22AUG2014H12	2014-08-22 10:00:00	long	H12	0.91227	1	3	5,3,4	408	5	1	0	76.0	2536.0	2013-01-11 00:00:00	0		FALSE	2.0	4.0	6.0				72.0	32.0	2.0	9	30.0		False	52.83	8.5		588	33.36842105263158	0.6842105263157895	6.578947368421052	A	5.0	12	-6
22	USD_CHF 21JAN2013H12	2013-01-21 22:00:00	long	H12	0.9344600000000001	0	0	0	720	6	5	0	11.0	2095.0	2012-01-11 00:00:00	0		TRUE	4.0	4.0	6.0				13.0		2.0	11	67.0		True	43.65	15.0		376	190.45454545454547	3.909090909090909	54.54545454545455	A	1.2	0	-1
23	USD_CHF 20JUN2013H12	2013-06-20 22:00:00	short	H12	0.9271299999999999	0	2	2,1	1871	16	3	0	33.0	5163.0	2013-01-02 00:00:00	0		FALSE	2.0	4.0	6.0				34.0	12.0	2.0	33	51.0		True	107.56	38.98		169	156.45454545454547	3.242424242424242	48.484848484848484	A	5.333333333333333	3	-11
24	USD_CHF 15DEC2013H12	2013-12-15 22:00:00	short	H12	0.8879	0	1	9	663	8	4	1	50.0	3357.0	2011-01-11 00:00:00	0		FALSE	2.0	4.0	6.0				33.0	5.0	2.0	18	56.0		True	69.94	13.81		1069	67.14	1.38	16.0	A	2.0	9	14
27	USD_CHF 09NOV2011H12	2011-09-11 10:00:00	long	H12	0.90749	1	0	0	1396	6	1	0	17.0	5075.0	2011-01-10 00:00:00	0		FALSE	1.0	4.0	6.0				15.0		3.0	6,9	57.0		False	105.73	29.08		244	298.52941176470586	6.176470588235294	35.294117647058826	A	6.0	0	-9
28	USD_CHF 07JAN2009H12	2009-07-01 22:00:00	long	H12	1.10571	0	1	2	2800	9	1	0	14.0	5693.0	2008-01-12 00:00:00	0	30.0	TRUE	1.0	4.0	6.0				15.0	16.0	3.0	8,4	46.0		True	118.6	58.33	0.62	536	406.64285714285717	8.428571428571429	64.28571428571429	A	9.0	2	-4
29	USD_CHF 03OCT2014H12	2014-03-10 10:00:00	long	H12	0.9582	0	9	5,2,1,1,11,1,7,4,4	500	7	2	1	137.0	7092.0	2013-01-07 00:00:00	0	1577.0	FALSE	5.0	4.0	6.0				137.0	4.0	7.0	14,6,4,17,10,18	31.0		False	147.75	10.42	32.85	427	51.76642335766423	1.072992700729927	5.109489051094891	A	3.5	36	14
30	USD_CHF 02JUN2016H12	2016-02-06 22:00:00	long	H12	0.9915200000000001	0	3	3,5,1	900	22	3	0	45.0	4515.0	2006-01-02 00:00:00	0		FALSE	1.0	4.0	6.0				46.0	15.0	2.0	43	50.0		True	94.06	18.75		3687	100.33333333333333	2.088888888888889	48.888888888888886	A	7.333333333333333	9	-12
33	USD_CHF 01APR2018H12	2018-01-04 22:00:00	long	H12	0.9546	1	0	0	478	6	1	0	60.0	3573.0	2018-01-01 00:00:00	0		FALSE	1.0	4.0	6.0				60.0		2.0	9	35.0		False	74.44	9.96		3	59.55	1.2333333333333334	10.0	A	6.0	0	-5
35	USD_CAD 28MAY2010H12	2010-05-28 10:00:00	long	H12	1.0533700000000001	0	3	1,2,2	4050	13	3	0	54.0	5890.0	2010-01-02 00:00:00	0		FALSE	2.0	4.0	6.0				55.0	7.0	6.0	15,7,13,3,9	56.0		False	122.71	84.38		146	109.07407407407408	2.259259259259259	24.074074074074073	A	4.333333333333333	5	-6
36	USD_CAD 28JAN2014H12	2014-01-28 10:00:00	long	H12	1.11245	0	10	3,2,1,3,7,3,2,1,1,1	1200	9	3	1	181.0	9265.0	2009-01-07 00:00:00	0		FALSE	3.0	4.0	6.0				184.0	7.0	3.0	7,24	33.0		False	193.02	25.0		1847	51.187845303867405	1.0662983425414365	4.972375690607735	A	3.0	24	8
37	USD_CAD 28FEB2013H12	2013-02-28 10:00:00	long	H12	1.02515	1	2	10,7	760	8	1	1	66.0	4173.0	2012-01-06 00:00:00	0		FALSE	2.0	4.0	6.0				64.0	3.0	2.0	19	51.0		False	86.94	15.83		419	63.22727272727273	1.303030303030303	12.121212121212121	A	8.0	17	13
41	USD_CAD 19OCT2009H12	2009-10-19 10:00:00	short	H12	1.02911	0	1	4	1970	11	4	0	21.0	5476.0	2008-01-07 00:00:00	0		FALSE	1.0	4.0	6.0				23.0	5.0	2.0	22	58.0		False	114.08	41.04		651	260.76190476190476	5.428571428571429	52.38095238095238	A	2.75	4	0
44	USD_CAD 17OCT2008H12	2008-10-17 09:00:00	long	H12	1.1868100000000001	0	3	3,1,11	1760	5	1	0	28.0	15375.0	2005-01-08 00:00:00	0		TRUE		4.0	6.0											320.31	36.67		1378	549.1071428571429	11.428571428571429	17.857142857142858	A	5.0	15	-5
46	USD_CAD 16OCT2014H12	2014-10-16 09:00:00	long	H12	1.13057	0	4	1,2,2,8	1106	5	1	0	138.0	6821.0	2011-01-01 00:00:00	0	958.0	TRUE	3.0	4.0	6.0											142.1	23.04	19.96	1384	49.427536231884055	1.0289855072463767	3.6231884057971016	A	5.0	13	-10
47	USD_CAD 16MAR2010H12	2010-03-16 09:00:00	short	H12	1.01627	0	1	2	395	5	1	1	50.0	5885.0	2008-01-07 00:00:00	0	750.0	FALSE	0.0	4.0	6.0				51.0	2.0	2.0	24	47.0		True	122.6	8.23	15.62	799	117.7	2.44	10.0	A	5.0	2	14
48	USD_CAD 13OCT2011H12	2011-10-13 09:00:00	long	H12	1.02366	0	2	6,5	4696	30	1	0	37.0	4607.0	2010-01-09 00:00:00	0		TRUE	1.0	4.0	6.0											95.98	97.83		642	124.51351351351352	2.5675675675675675	81.08108108108108	A	30.0	11	-10
51	USD_CAD 11AUG2017H12	2017-11-08 10:00:00	short	H12	1.2699799999999999	1	6	20,1,16,1,1,4	3100	40	4	0	140.0	11067.0	2015-01-07 00:00:00	0		FALSE	4.0	4.0	6.0				121.0	23.0	3.0	72,17	44.0		True	230.56	64.58		1036	79.05	1.6428571428571428	28.571428571428573	A	10.0	43	-6
52	USD_CAD 09MAR2016H12	2016-09-03 10:00:00	short	H12	1.33445	1	1	1	1630	7	6	0	71.0	14150.0	2015-01-11 00:00:00	0		FALSE	3.0	4.0	6.0				68.0	10.0	3.0	20,51	53.0		False	294.79	33.96		601	199.29577464788733	4.140845070422535	9.859154929577464	A	1.1666666666666667	1	-1
53	USD_CAD 07MAR2018H12	2018-07-03 10:00:00	long	H12	1.29627	0	5	5,2,1,1,1	1270	8	3	0	47.0	6924.0	2017-01-06 00:00:00	0	370.0	TRUE	1.0	4.0	6.0				49.0	2.0	4.0	14,12,19	50.0		False	144.25	26.46	7.71	543	147.31914893617022	3.0638297872340425	17.02127659574468	A	2.6666666666666665	10	-9
54	USD_CAD 07JUL2011H12	2011-07-07 10:00:00	short	H12	0.96395	0	0	0	880	11	2	0	13.0	2411.0	2011-01-05 00:00:00	0	700.0	FALSE	0.0	4.0	6.0				16.0		2.0	16	39.0		True	50.23	18.33	14.58	183	185.46153846153845	3.8461538461538463	84.61538461538461	A	5.5	0	0
58	NZD_USD 18OCT2018H12	2018-10-18 10:00:00	long	H12	0.65681	0	0	0	430	6	1	0	10.0	1221.0	2018-01-10 00:00:00	0	684.0	TRUE	1.0	4.0	6.0											25.44	8.96	14.25	281	122.1	2.5	60.0	A	6.0	0	-10
61	NZD_JPY 29NOV2018H12	2018-11-29 22:00:00	long	H12	77.87	1	2	4	453	4	1	0	48.0	5421.0	2018-01-06 00:00:00	0		FALSE	2.0	4.0	6.0											112.94	9.44		327	112.9375	2.3333333333333335	8.333333333333334	A	4.0	4	0
