#price	n_bounces	tot_score	score_per_bounce
0.55871	0	0	0
0.56471	0	0	0
0.57071	0	0	0
0.57671	0	0	0
0.58271	0	0	0
0.58871	0	0	0
0.59471	0	0	0
0.60071	0	0	0
0.60671	0	0	0
0.61271	0	0	0
0.61871	0	0	0
0.62471	0	0	0
0.63071	0	0	0
0.63671	0	0	0
0.64271	0	0	0
0.64871	0	0	0
0.65471	1	714	714.0
0.66071	0	0	0
0.66671	0	0	0
0.67271	0	0	0
0.67871	0	0	0
0.68471	1	47	47.0
0.69071	0	0	0
0.69671	3	466	155.33
0.70271	1	479	479.0
0.70871	2	918	459.0
0.71471	0	0	0
0.72071	0	0	0
0.72671	0	0	0
0.73271	0	0	0
0.73871	1	92	92.0
0.74471	2	179	89.5
0.75071	1	87	87.0
0.75671	1	133	133.0
0.76271	0	0	0
0.76871	0	0	0
0.77471	2	869	434.5
0.78071	0	0	0
0.78671	0	0	0
0.79271	0	0	0
0.79871	0	0	0
0.80471	1	215	215.0
0.81071	2	349	174.5
0.81671	1	564	564.0
0.82271	0	0	0
0.82871	2	348	174.0
0.83471	2	228	114.0
0.84071	2	230	115.0
0.84671	1	171	171.0
0.85271	2	289	144.5
0.85871	2	207	103.5
0.86471	3	465	155.0
0.87071	2	148	74.0
0.87671	2	767	383.5
0.88271	2	158	79.0
0.88871	2	253	126.5
0.89471	1	180	180.0
0.90071	1	137	137.0
0.90671	3	644	214.67
0.91271	3	443	147.67
0.91871	0	0	0
0.92471	1	257	257.0
0.93071	2	482	241.0
0.93671	1	214	214.0
0.94271	2	357	178.5
0.94871	1	238	238.0
0.95471	0	0	0
0.96071	0	0	0
0.96671	0	0	0
0.97271	0	0	0
0.97871	1	119	119.0
0.98471	0	0	0
0.99071	0	0	0
0.99671	0	0	0
