	timeframe	id 1st peak	start 1st peak	entry 1st peak	S/L 1st peak	outcome 1st peak	retraced 1st peak	last time 1st peak	Candle +1 against trade 1st peak	RSI bounces 1st peak	RSI 1st peak	No of candles 1st peak	bounce length 1st peak	indecission 1st peak	divergence 1st peak	entry on RSI 1st peak	length of trend 1st peak	length in pips	bounces 1st peak	id 2nd peak	start 2nd peak	entry 2nd peak	S/L 2nd peak	outcome 2nd peak	retraced 2nd peak	RSI 2nd peak	divergence 2nd peak	valley	differential	diff	pips_ratio	rsi_inarea_1st	sum_bounces	score
0	H12	AUD_USD 29FEB2008H12	2008-02-29 10:00:00	0.9384100000000001		1		2003-01-01 00:00:00	0	3	78	2.0	10,1,1	1	0	0	55	8742	1	AUD_USD 14MAR2008H12	14/03/2008 09:00	0.9420700000000001		1		63	0	18	-270	1885.0	158.94545454545454	1	12	2
1	H12	AUD_USD 21OCT2009H12	2009-10-21 21:00:00	0.9192299999999999		1		2008-01-07 00:00:00	0	5	73	1.0	1,2,6,2,1	4	1	0	145	15489	1	AUD_USD 17NOV2009H12	17/11/2009 10:00	0.92781		1		62	0	35	818	653.0	106.82068965517242	1	12	5
2	H12	AUD_USD 12JAN2010H12	2010-12-01 10:00:00	0.92411		1		2008-01-07 00:00:00	0	3	74	2.0	3,1,1	1	0	0	27	4891	7	AUD_USD 15JAN2010H12	15/01/2010 10:00:00	0.92379		1		65	1	6	-44	1059.0	181.14814814814815	1	5	2
3	H12	AUD_USD 12APR2010H12	2010-12-04 09:00:00	0.9276200000000001		1		2008-01-07 00:00:00	0	1	67	35.0	1	1	1	0	92	6382	7	AUD_USD 15APR2010H12	15/04/2010 10:00:00	0.9334		1		63	1	5	-254	1062.0	69.3695652173913	0	1	3
4	H12	AUD_USD 10APR2014H12	2014-10-04 22:00:00	0.9384899999999999		1		2013-01-10 00:00:00	1	4	79	1.0	5,1,4,1	1	0	0	56	4620	2	AUD_USD 15APR2014H12	15/04/2014 09:00	0.9380299999999999		1		70	0	4	-333	632.0	82.5	1	11	2
5	H12	AUD_USD 07NOV2014H12A	2014-07-11 10:00:00	0.85964		1		2010-01-07 00:00:00	0	7	32	50.0	1,9,1,3,1,6,2	1	1	0	88	7639	1	AUD_USD 11NOV2014H12	11/11/2014 22:00	0.87164		0		40	0	4	-543	1646.0	86.80681818181819	0	23	3
6	H12	AUD_USD 10SEP2017H12	2017-10-09 22:00:00	0.80507		1		2014-01-12 00:00:00	1	8	71	1.0	1,1,10,1,1,1,2	1	1	0	177	6891	2	AUD_USD 20SEP2017H12A	20/09/2017 22:00:00	0.7984100000000001		1		56	0	15	-198	1366.0	38.932203389830505	1	17	5
7	H12	EUR_GBP 14MAR2007H12	2007-03-14 21:00:00	0.68276		1		2006-01-07 00:00:00	0	7	70	2.0	1,1,3,2,3,1,1	1	1	0	74	2762	3	EUR_GBP 19MAR2007H12A	19/03/2007 09:00:00	0.68386		1		62	0	4	-10	431.0	37.32432432432432	1	12	4
8	H12	EUR_GBP 04MAR2010H12	2010-04-03 10:00:00	0.9047700000000001		0	312.0	2009-01-10 00:00:00	0	1	76	2.0	7	4	0	0	28	3904	5	EUR_GBP 11MAR2010H12A	11/03/2010 10:00:00	0.90975		1		68	1	11	330	448.0	139.42857142857142	1	7	2
9	H12	EUR_GBP 23JUL2012H12	2012-07-23 10:00:00	0.77977		1		2008-01-03 00:00:00	0	3	22	1.0	5,3,4	1	0	0	30	2965	5	EUR_GBP 23JUL2012H12A	24/07/2012 22:00:00	0.7840699999999999		1		30	0	3	-173	1663.0	98.83333333333333	1	12	3
